name,srx,platform,layout,ilength,srr,spots,bases
Col-0-replicates_1,SRX6783827,ILLUMINA,SINGLE,,SRR10049364,22863345,493.59M
Col-0-replicates_2,SRX6783828,ILLUMINA,SINGLE,,SRR10049363,21954043,479.25M
GSM1278497,SRX386468,ILLUMINA,SINGLE,,SRR1042171,14973700,714M
GSM1278498,SRX386469,ILLUMINA,SINGLE,,SRR1042172,16926625,807.12M
GSM1278499,SRX386470,ILLUMINA,SINGLE,,SRR1042173,15354730,732.17M
GSM1278500,SRX386471,ILLUMINA,SINGLE,,SRR1042174,16940366,807.78M
GSM1278501,SRX386472,ILLUMINA,SINGLE,,SRR1042175,1259207,60.04M
GSM1278502,SRX386473,ILLUMINA,SINGLE,,SRR1042176,4342512,149.09M
GSM1278503,SRX386474,ILLUMINA,SINGLE,,SRR1042177,3790602,130.14M
GSM1278504,SRX386475,ILLUMINA,SINGLE,,SRR1042178,4604076,158.07M
GSM1278505,SRX386476,ILLUMINA,SINGLE,,SRR1042179,1311496,62.54M
GSM1529874,SRX738305,ILLUMINA,SINGLE,,SRR1618839,16235953,358.53M
GSM1529876,SRX738307,ILLUMINA,SINGLE,,SRR1618841,6462216,122.46M
GSM1529876,SRX738307,ILLUMINA,SINGLE,,SRR1618842,6471204,124.31M
GSM1529878,SRX738309,ILLUMINA,SINGLE,,SRR1618844,8423341,165.28M
GSM1529880,SRX738311,ILLUMINA,SINGLE,,SRR1618846,5686565,111.94M
GSM1529880,SRX738311,ILLUMINA,SINGLE,,SRR1618847,6527308,126.59M
GSM2066567,SRX1592743,ILLUMINA,SINGLE,,SRR3178439,6869596,146.27M
GSM2066568,SRX1592744,ILLUMINA,SINGLE,,SRR3178440,4117427,87.43M
GSM2066569,SRX1592745,ILLUMINA,SINGLE,,SRR3178441,17427101,392.15M
GSM2066570,SRX1592746,ILLUMINA,SINGLE,,SRR3178442,17956883,404.27M
GSM2066571,SRX1592747,ILLUMINA,SINGLE,,SRR3178443,18229306,409.1M
GSM2066572,SRX1592748,ILLUMINA,SINGLE,,SRR3178444,7646594,157.26M
GSM2066573,SRX1592749,ILLUMINA,SINGLE,,SRR3178445,6401409,132.01M
GSM2218931,SRX1881703,ILLUMINA,SINGLE,,SRR3724580,13829924,672.65M
GSM2218931,SRX1881703,ILLUMINA,SINGLE,,SRR3724581,13582531,660.62M
GSM2218932,SRX1881704,ILLUMINA,SINGLE,,SRR3724582,15299635,744.13M
GSM2218932,SRX1881704,ILLUMINA,SINGLE,,SRR3724583,15049550,731.97M
GSM2218933,SRX1881705,ILLUMINA,SINGLE,,SRR3724584,14600431,710.13M
GSM2218933,SRX1881705,ILLUMINA,SINGLE,,SRR3724585,14396266,700.2M
GSM2218934,SRX1881706,ILLUMINA,SINGLE,,SRR3724586,14936140,726.45M
GSM2218934,SRX1881706,ILLUMINA,SINGLE,,SRR3724587,14683017,714.14M
GSM2218935,SRX1881707,ILLUMINA,SINGLE,,SRR3724588,14177273,689.55M
GSM2218935,SRX1881707,ILLUMINA,SINGLE,,SRR3724589,13914680,676.77M
GSM2218936,SRX1881708,ILLUMINA,SINGLE,,SRR3724590,14827720,721.18M
GSM2218936,SRX1881708,ILLUMINA,SINGLE,,SRR3724591,14592474,709.74M
GSM2218937,SRX1881709,ILLUMINA,SINGLE,,SRR3724592,17378166,845.23M
GSM2218937,SRX1881709,ILLUMINA,SINGLE,,SRR3724593,17061883,829.85M
GSM2218938,SRX1881710,ILLUMINA,SINGLE,,SRR3724594,16292790,792.44M
GSM2218938,SRX1881710,ILLUMINA,SINGLE,,SRR3724595,16016396,779M
GSM2257315,SRX1993701,ILLUMINA,SINGLE,,SRR3992484,20907134,996.93M
