name	trim_fq	bam	aliall	mis	unali	sum
SRR10049355	23924031	23924031	21363902	1624915	935214	23924031
SRR10049356	23417260	23417260	20823335	1498250	1095675	23417260
SRR10049357	22175348	22175348	19761873	1430394	983081	22175348
SRR10049358	22947007	22947007	20283652	1445560	1217795	22947007
SRR10049359	22904712	22904712	20868270	1384872	651570	22904712
SRR10049360	23062440	23062440	20838715	1469228	754497	23062440
SRR10049361	22387021	22387021	20173201	1486279	727541	22387021
SRR10049362	21347298	21347298	19066713	1397684	882901	21347298
SRR10049363	21929847	21929847	19226617	1449444	1253786	21929847
SRR10049364	22824903	22824903	20616766	1443208	764929	22824903
SRR1042175	899212	899212	675974	180679	42559	899212
SRR1042176	3982401	3982401	3200683	671651	110067	3982401
SRR1042177	2791201	2791201	2168377	542035	80789	2791201
SRR1042178	3705206	3705206	2902459	712399	90348	3705206
SRR1042179	847437	847437	478235	331595	37607	847437
SRR1618839	13628997	13628997	10004312	1295746	2328939	13628997
SRR1618841	4495655	4495655	3072275	441499	981881	4495655
SRR1618842	4718288	4718288	3363844	482099	872345	4718288
SRR1618844	6604781	6604781	5009141	666574	929066	6604781
SRR1618846	4476786	4476786	3414091	433734	628961	4476786
SRR1618847	4700608	4700608	3231755	482246	986607	4700608
SRR3178439	6773628	6773628	5920518	677842	175268	6773628
SRR3178440	4043634	4043634	3536140	396144	111350	4043634
SRR3178441	17155906	17155906	14834270	1758632	563004	17155906
SRR3178442	17709386	17709386	15526838	1785094	397454	17709386
SRR3178443	17987582	17987582	15573192	2003619	410771	17987582
SRR3178444	7473110	7473110	6404359	760551	308200	7473110
SRR3178445	6283062	6283062	5364135	644495	274432	6283062
SRR3724580	10920024	10920024	8804420	1704867	410737	10920024
SRR3724581	10706285	10706285	8674680	1632263	399342	10706285
SRR3724582	10600512	10600512	8804207	1402526	393779	10600512
SRR3724583	10404383	10404383	8678695	1338571	387117	10404383
SRR3724584	11129478	11129478	9395286	1357124	377068	11129478
SRR3724585	10958466	10958466	9293588	1295812	369066	10958466
SRR3724586	10884496	10884496	9106747	1320721	457028	10884496
SRR3724587	10687044	10687044	8977290	1260921	448833	10687044
SRR3724588	10867012	10867012	8971220	1479480	416312	10867012
SRR3724589	10647846	10647846	8832654	1408752	406440	10647846
SRR3724590	11004030	11004030	9110661	1413176	480193	11004030
SRR3724591	10812862	10812862	8992872	1350094	469896	10812862
SRR3724592	11709413	11709413	9978495	1276950	453968	11709413
SRR3724593	11478369	11478369	9812328	1214771	451270	11478369
SRR3724594	11822754	11822754	9853815	1484320	484619	11822754
SRR3724595	11604101	11604101	9714397	1417461	472243	11604101
SRR3992484	4407569	4407569	3472718	657515	277336	4407569
SRR3992485	12149522	12149522	9261429	2355248	532845	12149522
SRR3992486	19729532	19729532	14369371	4338419	1021742	19729532
SRR3992490	1568918	1568918	1031098	261184	276636	1568918
SRR3992491	4264616	4264616	3075375	638295	550946	4264616
SRR3992492	4733752	4733752	2829483	960105	944164	4733752
SRR3992494	3151068	3151068	1136394	449743	1564931	3151068
SRR3992495	7810931	7810931	2540894	1091059	4178978	7810931
SRR4831941	10824690	10824690	10297745	380490	146455	10824690
SRR4831942	11452075	11452075	10833211	452935	165929	11452075
SRR4831943	11418719	11418719	10771958	467498	179263	11418719
SRR5151108	8855191	8855191	5295599	1601221	1958371	8855191
SRR5151109	9451579	9451579	5652906	1726843	2071830	9451579
SRR5151110	8990313	8990313	4457113	1251080	3282120	8990313
SRR5151111	9664396	9664396	4782452	1370884	3511060	9664396
SRR5151112	11016143	11016143	4703543	1989912	4322688	11016143
SRR5151113	11377446	11377446	4906590	2058154	4412702	11377446
SRR5151114	10200676	10200676	6404624	1537311	2258741	10200676
SRR5151115	10722058	10722058	6771770	1622947	2327341	10722058
SRR5151116	9284408	9284408	4077892	1753363	3453153	9284408
SRR5151117	9899950	9899950	4353482	1889213	3657255	9899950
SRR5151118	8830555	8830555	3960415	2072194	2797946	8830555
SRR5151119	9264809	9264809	4183912	2177435	2903462	9264809
SRR5227418	16878502	16878502	15339372	1175973	363157	16878502
SRR5227419	16144303	16144303	14687829	1100300	356174	16144303
SRR5227420	17606223	17606223	16066383	1200173	339667	17606223
SRR5227421	14706672	14706672	13363998	1043056	299618	14706672
SRR5227422	36571682	36571682	33052159	2899678	619845	36571682
SRR5227423	40718741	40718741	36727855	3265155	725731	40718741
SRR5227424	14676144	14676144	13425051	884830	366263	14676144
SRR5227425	7954656	7954656	7340221	434317	180118	7954656
SRR5227426	12467580	12467580	11374653	814380	278547	12467580
SRR5227427	23310787	23310787	21638775	1154829	517183	23310787
SRR5227428	21108604	21108604	19741067	1053376	314161	21108604
SRR5227429	30921766	30921766	28398786	2035717	487263	30921766
SRR5227430	46692007	46692007	43621803	2495811	574393	46692007
SRR5227431	3717580	3717580	3374313	266301	76966	3717580
SRR5227432	4603132	4603132	4238385	291337	73410	4603132
SRR5227433	2233699	2233699	1889518	269411	74770	2233699
SRR5227434	2384521	2384521	2017155	294036	73330	2384521
SRR5227435	58562586	58562586	52336030	4844382	1382174	58562586
SRR5227436	34704052	34704052	30091337	3595629	1017086	34704052
SRR5227437	26953859	26953859	24215086	1923608	815165	26953859
SRR5227438	9679842	9679842	8750353	612260	317229	9679842
SRR5227439	29318299	29318299	24811291	3328676	1178332	29318299
SRR5227440	47403768	47403768	40780369	4987859	1635540	47403768
SRR5227441	12860246	12860246	11633889	848481	377876	12860246
SRR5227442	35177317	35177317	30485282	3448536	1243499	35177317
SRR5227443	22430958	22430958	19246902	2355983	828073	22430958
SRR5227444	47203793	47203793	40736188	4985344	1482261	47203793
SRR5227445	22448863	22448863	17643919	2553377	2251567	22448863
SRR5227446	33034019	33034019	26488292	3442609	3103118	33034019
SRR5227447	36386789	36386789	30752497	3686898	1947394	36386789
SRR5508380	22220723	22220723	8187657	2273020	11760046	22220723
SRR5508382	26450476	26450476	13320556	5433399	7696521	26450476
SRR5508383	23045920	23045920	13577043	3954357	5514520	23045920
SRR5508384	29272264	29272264	9819167	6330867	13122230	29272264
SRR5581460	14167191	14167191	7823844	3045207	3298140	14167191
SRR5581464	5492708	5492708	2969166	823501	1700041	5492708
SRR5581465	13254093	13254093	6633080	2575636	4045377	13254093
SRR5581466	9746537	9746537	5939537	2611570	1195430	9746537
SRR5581467	9600288	9600288	5996766	2304040	1299482	9600288
SRR5581468	9025101	9025101	5435129	2375501	1214471	9025101
SRR5581469	9753113	9753113	6134627	2099850	1518636	9753113
SRR5581470	11394625	11394625	7149358	2922866	1322401	11394625
SRR5581471	9325742	9325742	3158958	1563584	4603200	9325742
SRR5581472	10397825	10397825	4367128	1990497	4040200	10397825
SRR5581473	11913960	11913960	4337195	2118776	5457989	11913960
SRR6156924	43167929	43167929	38803786	3027536	1336607	43167929
SRR6192867	10042364	10042364	8714737	1059973	267654	10042364
SRR6192868	11863224	11863224	10158886	1258198	446140	11863224
SRR6192869	8420080	8420080	7306303	901558	212219	8420080
SRR6192870	6882834	6882834	6189109	499943	193782	6882834
SRR6192871	7808328	7808328	6964965	641754	201609	7808328
SRR6192872	8621077	8621077	7650513	724581	245983	8621077
SRR6208912	2445962	2445962	2024556	169066	252340	2445962
SRR6208913	4022869	4022869	3382285	271735	368849	4022869
SRR6208914	3203063	3203063	2235574	171744	795745	3203063
SRR6208915	3465150	3465150	2382436	141554	941160	3465150
SRR6208920	3948854	3948854	3643852	122262	182740	3948854
SRR6208921	2574759	2574759	2274118	126493	174148	2574759
SRR6208922	31541401	31541401	27990131	1833192	1718078	31541401
SRR6208923	42548403	42548403	37444371	2631761	2472271	42548403
SRR6208924	25336973	25336973	21745156	1359605	2232212	25336973
SRR6208925	50286429	50286429	37019511	2612857	10654061	50286429
SRR6833109	8409016	8409016	7074317	617745	716954	8409016
SRR6833110	5462126	5462126	4610009	376695	475422	5462126
SRR6833111	6597413	6597413	5596841	460191	540381	6597413
SRR6833112	4895721	4895721	4089523	353923	452275	4895721
SRR6833113	4401635	4401635	3689475	317603	394557	4401635
SRR6833114	5333919	5333919	4419009	398191	516719	5333919
SRR6833115	4576627	4576627	3947270	282233	347124	4576627
SRR6833116	5337327	5337327	4628237	341644	367446	5337327
SRR6833117	5868425	5868425	4818517	384022	665886	5868425
SRR6833118	5130630	5130630	4435791	336967	357872	5130630
SRR6833119	5381053	5381053	4663779	331656	385618	5381053
