NC_000913.3	Escherichia_coli
NC_002162.1	Ureaplasma_parvum
NC_002620.2	Chlamydia_muridarum
NC_002182.1	Chlamydia_muridarum
NC_002488.3	Xylella_fastidiosa
NC_002489.3	Xylella_fastidiosa
NC_002490.1	Xylella_fastidiosa
NC_002505.1	Vibrio_cholerae
NC_002506.1	Vibrio_cholerae
NC_002516.2	Pseudomonas_aeruginosa
NC_002737.2	Streptococcus_pyogenes
NC_002663.1	Pasteurella_multocida
NC_002946.2	Neisseria_gonorrhoeae
NC_002662.1	Lactococcus_lactis
NC_003028.3	Streptococcus_pneumoniae
NC_004337.2	Shigella_flexneri
NC_004851.1	Shigella_flexneri
NC_003197.2	Salmonella_enterica
NC_003277.2	Salmonella_enterica
NC_003047.1	Sinorhizobium_meliloti
NC_003037.1	Sinorhizobium_meliloti
NC_003078.1	Sinorhizobium_meliloti
NC_003901.1	Methanosarcina_mazei
NC_006526.2	Zymomonas_mobilis
NC_003317.1	Brucella_melitensis
NC_003318.1	Brucella_melitensis
NC_003902.1	Xanthomonas_campestris
NC_003919.1	Xanthomonas_citri
NC_003921.3	Xanthomonas_citri
NC_003922.1	Xanthomonas_citri
NC_004116.1	Streptococcus_agalactiae
NC_004350.2	Streptococcus_mutans
NC_004310.3	Brucella_suis
NC_004311.2	Brucella_suis
NC_002947.4	Pseudomonas_putida
NC_002950.2	Porphyromonas_gingivalis
NC_004461.1	Staphylococcus_epidermidis
NC_005008.1	Staphylococcus_epidermidis
NC_005007.1	Staphylococcus_epidermidis
NC_005006.1	Staphylococcus_epidermidis
NC_005005.1	Staphylococcus_epidermidis
NC_005004.1	Staphylococcus_epidermidis
NC_005003.1	Staphylococcus_epidermidis
NC_002971.4	Coxiella_burnetii
NC_004704.2	Coxiella_burnetii
NC_004668.1	Enterococcus_faecalis
NC_004669.1	Enterococcus_faecalis
NC_004671.1	Enterococcus_faecalis
NC_004670.1	Enterococcus_faecalis
NC_004722.1	Bacillus_cereus
NC_004721.2	Bacillus_cereus
NC_003997.3	Bacillus_anthracis
NC_002944.2	Mycobacterium_avium
NC_005042.1	Prochlorococcus_marinus
NC_006142.1	Rickettsia_typhi
NC_005362.1	Lactobacillus_johnsonii
NC_005835.1	Thermus_thermophilus
NC_005838.1	Thermus_thermophilus
NC_006932.1	Brucella_abortus
NC_006933.1	Brucella_abortus
NC_006085.1	Cutibacterium_acnes
NC_006360.1	Mycoplasma_hyopneumoniae
NC_002942.5	Legionella_pneumophila
NC_005957.1	Bacillus_thuringiensis
NC_006578.1	Bacillus_thuringiensis
NC_000915.1	Helicobacter_pylori
NC_001318.1	Borreliella_burgdorferi
NC_001903.1	Borreliella_burgdorferi
NC_000948.1	Borreliella_burgdorferi
NC_000949.1	Borreliella_burgdorferi
NC_000950.1	Borreliella_burgdorferi
NC_000951.1	Borreliella_burgdorferi
NC_000952.1	Borreliella_burgdorferi
NC_000953.1	Borreliella_burgdorferi
NC_000954.1	Borreliella_burgdorferi
NC_001904.1	Borreliella_burgdorferi
NC_001849.2	Borreliella_burgdorferi
NC_000955.2	Borreliella_burgdorferi
NC_001850.1	Borreliella_burgdorferi
NC_001851.2	Borreliella_burgdorferi
NC_001852.1	Borreliella_burgdorferi
NC_001853.1	Borreliella_burgdorferi
NC_001854.1	Borreliella_burgdorferi
NC_001855.1	Borreliella_burgdorferi
NC_001856.1	Borreliella_burgdorferi
NC_000957.1	Borreliella_burgdorferi
NC_001857.2	Borreliella_burgdorferi
NC_000956.1	Borreliella_burgdorferi
NC_000117.1	Chlamydia_trachomatis
NC_000922.1	Chlamydia_pneumoniae
NC_003030.1	Clostridium_acetobutylicum
NC_001988.2	Clostridium_acetobutylicum
NC_003112.2	Neisseria_meningitidis
NC_007929.1	Lactobacillus_salivarius
NC_007930.1	Lactobacillus_salivarius
NC_006529.1	Lactobacillus_salivarius
NC_006530.1	Lactobacillus_salivarius
NC_010816.1	Bifidobacterium_longum
NC_004252.1	Bifidobacterium_longum
NC_004253.1	Bifidobacterium_longum
NC_006570.2	Francisella_tularensis
NC_000964.3	Bacillus_subtilis
NC_003143.1	Yersinia_pestis
NC_003131.1	Yersinia_pestis
NC_003134.1	Yersinia_pestis
NC_003132.1	Yersinia_pestis
NC_002163.1	Campylobacter_jejuni
NC_003295.1	Ralstonia_solanacearum
NC_003296.1	Ralstonia_solanacearum
NC_008380.1	Rhizobium_leguminosarum
NC_008381.1	Rhizobium_leguminosarum
NC_008384.1	Rhizobium_leguminosarum
NC_008378.1	Rhizobium_leguminosarum
NC_008382.1	Rhizobium_leguminosarum
NC_008383.1	Rhizobium_leguminosarum
NC_008379.1	Rhizobium_leguminosarum
NC_008800.1	Yersinia_enterocolitica
NC_008791.1	Yersinia_enterocolitica
NC_002528.1	Buchnera_aphidicola
NC_002253.1	Buchnera_aphidicola
NC_002252.1	Buchnera_aphidicola
NC_002745.2	Staphylococcus_aureus
NC_003140.1	Staphylococcus_aureus
NC_003366.1	Clostridium_perfringens
NC_003042.1	Clostridium_perfringens
NC_006347.1	Bacteroides_fragilis
NC_006297.1	Bacteroides_fragilis
NC_006576.1	Synechococcus_elongatus
