chrom	length	bases	mean	min	max
NC_000913.3	4641652	94	0.00	0	1
NC_000913.3_region	6747	0	0.00	0	0
NC_002488.3	2679306	121	0.00	0	3
NC_002488.3_region	3775	95	0.03	0	3
NC_002505.1	2961149	325	0.00	0	4
NC_002505.1_region	7390	226	0.03	0	4
NC_002516.2	6264404	193	0.00	0	3
NC_002516.2_region	4945	24	0.00	0	1
NC_002737.2	1852433	94	0.00	0	3
NC_002737.2_region	4506	0	0.00	0	0
NC_002663.1	2257487	125	0.00	0	4
NC_002663.1_region	4481	0	0.00	0	0
NC_002946.2	2153922	400	0.00	0	5
NC_002946.2_region	4307	0	0.00	0	0
NC_002662.1	2365589	95	0.00	0	2
NC_002662.1_region	4748	0	0.00	0	0
NC_003028.3	2160842	71	0.00	0	2
NC_003028.3_region	4376	0	0.00	0	0
NC_004337.2	4607202	122	0.00	0	1
NC_004337.2_region	7572	0	0.00	0	0
NC_003197.2	4857450	24	0.00	0	1
NC_003197.2_region	6536	0	0.00	0	0
NC_003047.1	3654135	798	0.00	0	5
NC_003047.1_region	4065	123	0.03	0	1
NC_006526.2	2056363	6015	0.00	0	185
NC_006526.2_region	3990	4488	1.12	0	185
NC_003317.1	2117144	311	0.00	0	4
NC_003317.1_region	3126	73	0.02	0	2
NC_003318.1	1177787	269	0.00	0	2
NC_003318.1_region	1100	125	0.11	0	2
NC_003902.1	5076188	100	0.00	0	1
NC_003902.1_region	4234	52	0.01	0	1
NC_003919.1	5175554	23	0.00	0	1
NC_003919.1_region	4169	0	0.00	0	0
NC_004116.1	2160267	73	0.00	0	1
NC_004116.1_region	6021	0	0.00	0	0
NC_004350.2	2032925	121	0.00	0	2
NC_004350.2_region	4913	0	0.00	0	0
NC_004310.3	2107794	243	0.00	0	2
NC_004310.3_region	3201	23	0.01	0	1
NC_004311.2	1207381	260	0.00	0	6
NC_004311.2_region	1100	24	0.02	0	1
NC_002947.4	6181873	200	0.00	0	2
NC_002947.4_region	5780	25	0.00	0	1
NC_002950.2	2343476	116	0.00	0	2
NC_002950.2_region	4008	0	0.00	0	0
NC_004461.1	2499279	516	0.00	0	15
NC_004461.1_region	4727	345	0.07	0	15
NC_002971.4	1995488	142	0.00	0	3
NC_002971.4_region	3799	72	0.02	0	2
NC_004668.1	3218031	72	0.00	0	1
NC_004668.1_region	5084	0	0.00	0	0
NC_004722.1	5411809	2016	0.00	0	25
NC_004722.1_region	8167	1706	0.21	0	25
NC_003997.3	5227293	1572	0.00	0	25
NC_003997.3_region	7313	1334	0.18	0	25
NC_005042.1	1751080	266	0.00	0	4
NC_005042.1_region	2966	25	0.01	0	1
NC_006142.1	1111496	340	0.00	0	8
NC_006142.1_region	2592	192	0.07	0	8
NC_005362.1	1992676	464	0.00	0	4
NC_005362.1_region	5893	24	0.00	0	1
NC_005835.1	1894877	120	0.00	0	1
NC_005835.1_region	3706	0	0.00	0	0
NC_006932.1	2124241	500	0.00	0	4
NC_006932.1_region	3200	242	0.08	0	4
NC_006933.1	1162204	96	0.00	0	2
NC_006933.1_region	1100	50	0.05	0	1
NC_006085.1	2560265	429	0.00	0	9
NC_006085.1_region	3431	25	0.01	0	1
NC_006360.1	892758	4966	0.01	0	199
NC_006360.1_region	2461	0	0.00	0	0
NC_002942.5	3397754	100	0.00	0	1
NC_002942.5_region	3437	23	0.01	0	1
NC_005957.1	5237682	2131	0.00	0	33
NC_005957.1_region	8090	1847	0.23	0	33
NC_000915.1	1667867	117	0.00	0	2
NC_000915.1_region	2837	23	0.01	0	1
NC_001318.1	910724	169	0.00	0	6
NC_001318.1_region	2435	0	0.00	0	0
NC_000922.1	1230230	25	0.00	0	1
NC_000922.1_region	2893	25	0.01	0	1
NC_003030.1	3940880	644	0.00	0	4
NC_003030.1_region	5650	0	0.00	0	0
NC_003112.2	2272360	550	0.00	0	4
NC_003112.2_region	4622	50	0.01	0	1
NC_007929.1	1827111	653	0.00	0	6
NC_007929.1_region	5757	0	0.00	0	0
NC_010816.1	2375792	173	0.00	0	1
NC_010816.1_region	4495	0	0.00	0	0
NC_006570.2	1892775	280	0.00	0	10
NC_006570.2_region	2984	230	0.08	0	10
NC_000964.3	4215606	220	0.00	0	3
NC_000964.3_region	6646	26	0.00	0	1
NC_003143.1	4653728	51	0.00	0	1
NC_003143.1_region	5424	0	0.00	0	0
NC_002163.1	1641481	23	0.00	0	1
NC_002163.1_region	3388	0	0.00	0	0
NC_003295.1	3716413	150	0.00	0	1
NC_003295.1_region	4235	0	0.00	0	0
NC_003296.1	2094509	100	0.00	0	1
NC_003296.1_region	392	25	0.06	0	1
NC_008380.1	5057142	650	0.00	0	3
NC_008380.1_region	4079	178	0.04	0	3
NC_008800.1	4615899	26	0.00	0	1
NC_008800.1_region	6265	0	0.00	0	0
NC_002528.1	640681	48	0.00	0	1
NC_002528.1_region	2380	0	0.00	0	0
NC_002745.2	2814816	378	0.00	0	10
NC_002745.2_region	4711	230	0.05	0	10
NC_003366.1	3031430	1412	0.00	0	12
NC_003366.1_region	7514	554	0.07	0	12
NC_006347.1	5277274	143	0.00	0	1
NC_006347.1_region	5645	0	0.00	0	0
NC_006576.1	2696255	555	0.00	0	11
NC_006576.1_region	3400	146	0.04	0	2
NC_012490.1	6516310	49	0.00	0	1
NC_012490.1_region	4092	0	0.00	0	0
NC_010296.1	5842795	98	0.00	0	1
NC_010296.1_region	3189	25	0.01	0	1
NC_012891.1	2106340	49	0.00	0	1
NC_012891.1_region	4293	0	0.00	0	0
NC_013209.1	2907495	845	0.00	0	3
NC_013209.1_region	4445	198	0.04	0	3
NC_006350.1	4074542	175	0.00	0	1
NC_006350.1_region	4167	0	0.00	0	0
NC_006351.1	3173005	123	0.00	0	2
NC_006351.1_region	651	0	0.00	0	0
NC_005791.1	1661137	96	0.00	0	2
NC_005791.1_region	3063	0	0.00	0	0
NC_006677.1	2702173	906	0.00	0	11
NC_006677.1_region	4398	98	0.02	0	1
NC_006348.1	3510148	247	0.00	0	3
NC_006348.1_region	3685	77	0.02	0	1
NC_006349.2	2325379	151	0.00	0	2
NC_006349.2_region	804	0	0.00	0	0
NC_006449.1	1796226	71	0.00	0	1
NC_006449.1_region	5050	0	0.00	0	0
NC_002936.3	1469720	363	0.00	0	13
NC_002936.3_region	3603	0	0.00	0	0
NC_007005.1	6093698	294	0.00	0	3
NC_007005.1_region	5005	121	0.02	0	3
NC_004129.6	7074893	126	0.00	0	1
NC_004129.6_region	5460	0	0.00	0	0
NC_007651.1	3809201	168	0.00	0	2
NC_007651.1_region	4119	0	0.00	0	0
NC_007650.1	2914771	26	0.00	0	1
NC_007650.1_region	577	0	0.00	0	0
NC_007492.2	6438405	25	0.00	0	1
NC_007492.2_region	5710	0	0.00	0	0
NC_007633.1	1010023	25	0.00	0	1
NC_007633.1_region	2351	0	0.00	0	0
NC_007797.1	1471282	150	0.00	0	3
NC_007797.1_region	2826	0	0.00	0	0
NC_007799.1	1176248	971	0.00	0	35
NC_007799.1_region	2852	825	0.29	0	35
NC_009434.1	4567418	49	0.00	0	1
NC_009434.1_region	4721	25	0.01	0	1
NC_008508.1	3614446	73	0.00	0	1
NC_008508.1_region	2820	0	0.00	0	0
NC_009850.1	2341251	50	0.00	0	1
NC_009850.1_region	4238	0	0.00	0	0
NC_008531.1	2038396	257	0.00	0	4
NC_008531.1_region	5324	0	0.00	0	0
NC_008526.1	2895264	394	0.00	0	7
NC_008526.1_region	4442	0	0.00	0	0
NC_008570.1	4744448	177	0.00	0	1
NC_008570.1_region	9862	25	0.00	0	1
