chrom	length	bases	mean	min	max
NC_000913.3	4641652	57895	0.01	0	758
NC_000913.3_region	6747	2422	0.36	0	14
NC_002162.1	751719	2280	0.00	0	8
NC_002162.1_region	2346	379	0.16	0	6
NC_002620.2	1072950	3693	0.00	0	32
NC_002620.2_region	2819	438	0.16	0	4
NC_002488.3	2679306	18137	0.01	0	100
NC_002488.3_region	3775	8940	2.37	0	100
NC_002505.1	2961149	10321	0.00	0	8
NC_002505.1_region	7390	1856	0.25	0	6
NC_002506.1	1072315	2117	0.00	0	72
NC_002506.1_region	310	0	0.00	0	0
NC_002516.2	6264404	31598	0.01	0	70
NC_002516.2_region	4945	7087	1.43	0	46
NC_002737.2	1852433	3078	0.00	0	6
NC_002737.2_region	4506	484	0.11	0	3
NC_002663.1	2257487	11468	0.01	0	25
NC_002663.1_region	4481	2337	0.52	0	17
NC_002946.2	2153922	29909	0.01	0	108
NC_002946.2_region	4307	10408	2.42	0	108
NC_002662.1	2365589	7153	0.00	0	108
NC_002662.1_region	4748	2959	0.62	0	108
NC_003028.3	2160842	3382	0.00	0	7
NC_003028.3_region	4376	350	0.08	0	3
NC_004337.2	4607202	14328	0.00	0	22
NC_004337.2_region	7572	3440	0.45	0	22
NC_004851.1	221618	55	0.00	0	1
NC_004851.1_region	0	0	0.00	0	0
NC_003197.2	4857450	14026	0.00	0	58
NC_003197.2_region	6536	2183	0.33	0	20
NC_003277.2	93933	904	0.01	0	42
NC_003277.2_region	0	0	0.00	0	0
NC_003047.1	3654135	43240	0.01	0	49
NC_003047.1_region	4065	12176	3.00	0	49
NC_003037.1	1354226	1170	0.00	0	4
NC_003037.1_region	169	25	0.15	0	1
NC_003078.1	1683333	1865	0.00	0	7
NC_003078.1_region	77	212	2.75	0	7
NC_003901.1	4096345	4098	0.00	0	11
NC_003901.1_region	4529	75	0.02	0	1
NC_006526.2	2056363	145992	0.07	0	656
NC_006526.2_region	3990	49257	12.35	0	656
NC_003317.1	2117144	24990	0.01	0	36
NC_003317.1_region	3126	6242	2.00	0	29
NC_003318.1	1177787	13569	0.01	0	30
NC_003318.1_region	1100	4035	3.67	0	20
NC_003902.1	5076188	15324	0.00	0	40
NC_003902.1_region	4234	4213	1.00	0	19
NC_003919.1	5175554	15755	0.00	0	42
NC_003919.1_region	4169	4673	1.12	0	19
NC_003921.3	33700	21	0.00	0	1
NC_003921.3_region	0	0	0.00	0	0
NC_003922.1	64920	111	0.00	0	4
NC_003922.1_region	0	0	0.00	0	0
NC_004116.1	2160267	8544	0.00	0	220
NC_004116.1_region	6021	660	0.11	0	4
NC_004350.2	2032925	3256	0.00	0	5
NC_004350.2_region	4913	635	0.13	0	5
NC_004310.3	2107794	19632	0.01	0	26
NC_004310.3_region	3201	5718	1.79	0	26
NC_004311.2	1207381	10783	0.01	0	20
NC_004311.2_region	1100	3456	3.14	0	20
NC_002947.4	6181873	31943	0.01	0	45
NC_002947.4_region	5780	5044	0.87	0	44
NC_002950.2	2343476	12322	0.01	0	22
NC_002950.2_region	4008	2660	0.66	0	22
NC_004461.1	2499279	10942	0.00	0	331
NC_004461.1_region	4727	7266	1.54	0	331
NC_005007.1	4679	90	0.02	0	3
NC_005007.1_region	0	0	0.00	0	0
NC_005004.1	24365	58	0.00	0	2
NC_005004.1_region	0	0	0.00	0	0
NC_002971.4	1995488	16985	0.01	0	75
NC_002971.4_region	3799	7941	2.09	0	75
NC_004668.1	3218031	5840	0.00	0	22
NC_004668.1_region	5084	987	0.19	0	22
NC_004671.1	57660	58	0.00	0	1
NC_004671.1_region	0	0	0.00	0	0
NC_004670.1	17963	20	0.00	0	1
NC_004670.1_region	0	0	0.00	0	0
NC_004722.1	5411809	12024	0.00	0	84
NC_004722.1_region	8167	6387	0.78	0	84
NC_003997.3	5227293	10229	0.00	0	57
NC_003997.3_region	7313	4872	0.67	0	57
NC_002944.2	4829781	8748	0.00	0	21
NC_002944.2_region	3595	1033	0.29	0	5
NC_005042.1	1751080	5831	0.00	0	73
NC_005042.1_region	2966	1050	0.35	0	8
NC_006142.1	1111496	13726	0.01	0	322
NC_006142.1_region	2592	2061	0.80	0	30
NC_005362.1	1992676	6386	0.00	0	17
NC_005362.1_region	5893	710	0.12	0	6
