chrom	length	bases	mean	min	max
NC_000913.3	4641652	40509	0.01	0	394
NC_000913.3_region	6747	77	0.01	0	2
NC_002162.1	751719	19086	0.03	0	358
NC_002162.1_region	2346	214	0.09	0	8
NC_002620.2	1072950	17886	0.02	0	39
NC_002620.2_region	2819	1316	0.47	0	39
NC_002182.1	7501	18	0.00	0	1
NC_002182.1_region	0	0	0.00	0	0
NC_002488.3	2679306	73020	0.03	0	645
NC_002488.3_region	3775	656	0.17	0	7
NC_002490.1	51158	334	0.01	0	4
NC_002490.1_region	0	0	0.00	0	0
NC_002505.1	2961149	431022	0.15	0	5030
NC_002505.1_region	7390	288951	39.10	0	5030
NC_002506.1	1072315	22849	0.02	0	435
NC_002506.1_region	310	0	0.00	0	0
NC_002516.2	6264404	114133	0.02	0	1184
NC_002516.2_region	4945	1609	0.33	0	61
NC_002737.2	1852433	39452	0.02	0	221
NC_002737.2_region	4506	222	0.05	0	5
NC_002663.1	2257487	32968	0.01	0	205
NC_002663.1_region	4481	976	0.22	0	43
NC_002946.2	2153922	36730	0.02	0	199
NC_002946.2_region	4307	701	0.16	0	16
NC_002662.1	2365589	48181	0.02	0	153
NC_002662.1_region	4748	126	0.03	0	3
NC_003028.3	2160842	39452	0.02	0	171
NC_003028.3_region	4376	76	0.02	0	2
NC_004337.2	4607202	35896	0.01	0	370
NC_004337.2_region	7572	372	0.05	0	10
NC_004851.1	221618	5177	0.02	0	218
NC_004851.1_region	0	0	0.00	0	0
NC_003197.2	4857450	38920	0.01	0	175
NC_003197.2_region	6536	138	0.02	0	5
NC_003277.2	93933	1200	0.01	0	37
NC_003277.2_region	0	0	0.00	0	0
NC_003047.1	3654135	50382	0.01	0	265
NC_003047.1_region	4065	3430	0.84	0	70
NC_003037.1	1354226	15396	0.01	0	274
NC_003037.1_region	169	0	0.00	0	0
NC_003078.1	1683333	21752	0.01	0	426
NC_003078.1_region	77	0	0.00	0	0
NC_003901.1	4096345	78052	0.02	0	385
NC_003901.1_region	4529	1007	0.22	0	49
NC_006526.2	2056363	59589	0.03	0	129
NC_006526.2_region	3990	8118	2.03	0	75
NC_003317.1	2117144	26069	0.01	0	145
NC_003317.1_region	3126	9106	2.91	0	145
NC_003318.1	1177787	11709	0.01	0	86
NC_003318.1_region	1100	769	0.70	0	28
NC_003902.1	5076188	70878	0.01	0	528
NC_003902.1_region	4234	872	0.21	0	13
NC_003919.1	5175554	42347	0.01	0	150
NC_003919.1_region	4169	291	0.07	0	3
NC_003921.3	33700	312	0.01	0	5
NC_003921.3_region	0	0	0.00	0	0
NC_003922.1	64920	378	0.01	0	4
NC_003922.1_region	0	0	0.00	0	0
NC_004116.1	2160267	28130	0.01	0	59
NC_004116.1_region	6021	128	0.02	0	2
NC_004350.2	2032925	35861	0.02	0	171
NC_004350.2_region	4913	127	0.03	0	3
NC_004310.3	2107794	28596	0.01	0	140
NC_004310.3_region	3201	7916	2.47	0	140
NC_004311.2	1207381	12953	0.01	0	98
NC_004311.2_region	1100	770	0.70	0	22
NC_002947.4	6181873	62194	0.01	0	395
NC_002947.4_region	5780	2038	0.35	0	55
NC_002950.2	2343476	37575	0.02	0	105
NC_002950.2_region	4008	4849	1.21	0	105
NC_004461.1	2499279	32779	0.01	0	92
NC_004461.1_region	4727	2138	0.45	0	92
NC_005006.1	8007	18	0.00	0	1
NC_005006.1_region	0	0	0.00	0	0
NC_005005.1	17261	205	0.01	0	4
NC_005005.1_region	0	0	0.00	0	0
NC_005004.1	24365	134	0.01	0	3
NC_005004.1_region	0	0	0.00	0	0
NC_005003.1	6585	24	0.00	0	1
NC_005003.1_region	0	0	0.00	0	0
NC_002971.4	1995488	29298	0.01	0	98
NC_002971.4_region	3799	205	0.05	0	3
NC_004704.2	37319	405	0.01	0	3
NC_004704.2_region	0	0	0.00	0	0
NC_004668.1	3218031	67392	0.02	0	193
NC_004668.1_region	5084	594	0.12	0	19
NC_004669.1	66320	429	0.01	0	6
NC_004669.1_region	0	0	0.00	0	0
NC_004671.1	57660	154	0.00	0	2
NC_004671.1_region	0	0	0.00	0	0
NC_004670.1	17963	117	0.01	0	2
NC_004670.1_region	0	0	0.00	0	0
NC_004722.1	5411809	79388	0.01	0	277
NC_004722.1_region	8167	1755	0.21	0	33
NC_004721.2	15274	73	0.00	0	2
NC_004721.2_region	0	0	0.00	0	0
NC_003997.3	5227293	60311	0.01	0	109
NC_003997.3_region	7313	1373	0.19	0	18
NC_002944.2	4829781	85549	0.02	0	2298
NC_002944.2_region	3595	2532	0.70	0	88
NC_005042.1	1751080	85856	0.05	0	697
NC_005042.1_region	2966	30569	10.31	0	612
NC_006142.1	1111496	17366	0.02	0	145
NC_006142.1_region	2592	1872	0.72	0	29
NC_005362.1	1992676	53545	0.03	0	235
NC_005362.1_region	5893	9792	1.66	0	235
NC_005835.1	1894877	39409	0.02	0	370
NC_005835.1_region	3706	76	0.02	0	1
NC_005838.1	232605	4764	0.02	0	184
NC_005838.1_region	0	0	0.00	0	0
NC_006932.1	2124241	23939	0.01	0	135
NC_006932.1_region	3200	7412	2.32	0	135
NC_006933.1	1162204	10188	0.01	0	96
NC_006933.1_region	1100	564	0.51	0	25
NC_006085.1	2560265	68721	0.03	0	1254
NC_006085.1_region	3431	396	0.12	0	14
NC_006360.1	892758	33078	0.04	0	296
NC_006360.1_region	2461	275	0.11	0	9
NC_002942.5	3397754	64388	0.02	0	478
NC_002942.5_region	3437	1872	0.54	0	51
NC_005957.1	5237682	59150	0.01	0	107
NC_005957.1_region	8090	1500	0.19	0	26
NC_006578.1	77112	691	0.01	0	5
NC_006578.1_region	0	0	0.00	0	0
NC_000915.1	1667867	28132	0.02	0	122
NC_000915.1_region	2837	497	0.18	0	13
